Thicfury {'ratio': 9.6, 'most_spent': 135500.0, 'biggest_cut': 6638.0, 'avg_deduct': 'TBA'}
Pvebanana {'ratio': 4.06, 'most_spent': 30000.0, 'biggest_cut': 6425.0, 'avg_deduct': 'TBA'}
Shortstuff {'ratio': 1.57, 'most_spent': 16000.0, 'biggest_cut': 6400.0, 'avg_deduct': 'TBA'}
Hp {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6180.0, 'avg_deduct': 'TBA'}
Rah {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6029.0, 'avg_deduct': 'TBA'}
Azuremuffin {'ratio': 0.51, 'most_spent': 3000.0, 'biggest_cut': 5871.0, 'avg_deduct': 'TBA'}
Barknobite {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5499.0, 'avg_deduct': 'TBA'}
Dolanpump {'ratio': 0.61, 'most_spent': 11000.0, 'biggest_cut': 5837.0, 'avg_deduct': 'TBA'}
Artthass {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5644.0, 'avg_deduct': 'TBA'}
Dvp {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5159.0, 'avg_deduct': 'TBA'}
Erayzer {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4822.0, 'avg_deduct': 'TBA'}
Paula {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4766.0, 'avg_deduct': 'TBA'}
Janjá {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4124.0, 'avg_deduct': 'TBA'}
Zipperli {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5340.0, 'avg_deduct': 'TBA'}
Sorfin {'ratio': 3.14, 'most_spent': 41000.0, 'biggest_cut': 4514.0, 'avg_deduct': 'TBA'}
Biddown {'ratio': 2.52, 'most_spent': 21000.0, 'biggest_cut': 4059.0, 'avg_deduct': 'TBA'}
Titaniùm {'ratio': 1.11, 'most_spent': 7500.0, 'biggest_cut': 4022.0, 'avg_deduct': 'TBA'}
Nusplie {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3778.0, 'avg_deduct': 'TBA'}
